artista_principal,n_tracks,mean_popularity,median_popularity,explicit_rate,n_generos_mean,n_artistas_mean,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Sasha Alex Sloan,5,69.4,67.0,0.2,1.2,1.4,0.6266,0.3412,-9.59,0.033940000000000005,0.7736,1.1382e-05,0.15356,0.2964,96.87480000000001
Lil Tjay,22,69.27272727272727,67.5,1.0,1.0,1.6363636363636365,0.7009090909090909,0.5555909090909091,-8.153363636363636,0.22799545454545456,0.27297727272727274,4.6181818181818185e-07,0.13367727272727273,0.4254545454545454,121.80240909090911
j-hope,11,69.27272727272727,68.0,0.0,1.0,1.0909090909090908,0.7096363636363636,0.7129090909090908,-6.320909090909091,0.1486909090909091,0.16614818181818183,0.08236648545454546,0.2683,0.47845454545454547,99.23027272727272
Madhur Sharma,5,69.2,67.0,0.0,1.0,1.4,0.5032,0.49119999999999997,-7.7994,0.047819999999999994,0.6228,0.0035202780000000004,0.12028000000000001,0.3348,144.3452
Simon & Garfunkel,5,69.2,71.0,0.0,1.0,1.0,0.5187999999999999,0.3144,-14.4304,0.04008,0.7968,0.00010357400000000001,0.12810000000000002,0.49139999999999995,100.288
IU,6,69.16666666666667,69.0,0.0,1.0,1.1666666666666667,0.7553333333333333,0.7696666666666667,-2.8208333333333333,0.1075,0.15206666666666666,3.15e-07,0.15048333333333333,0.6988333333333333,114.14783333333332
Halsey,20,68.85,68.0,0.4,2.75,1.3,0.61525,0.61955,-5.9683,0.056945,0.157396,0.0035532065000000003,0.141475,0.40135000000000004,134.6646
Tom Odell,11,68.72727272727273,66.0,0.45454545454545453,1.0909090909090908,1.0909090909090908,0.5268181818181819,0.35790909090909095,-10.744272727272728,0.03844545454545455,0.7569636363636363,0.014818123636363638,0.11831818181818181,0.2275090909090909,113.75545454545454
Skrillex,6,68.66666666666667,68.5,0.5,1.8333333333333333,2.5,0.6343333333333333,0.8416666666666667,-3.5258333333333334,0.15965000000000001,0.009838333333333333,0.0005998333333333334,0.2729833333333333,0.4158833333333333,126.56333333333335
AP Dhillon,29,68.62068965517241,68.0,0.034482758620689655,1.5517241379310345,2.6206896551724137,0.7804827586206897,0.6028620689655173,-7.441586206896552,0.12136551724137931,0.1658896551724138,0.035455409310344826,0.16225517241379311,0.4186724137931035,109.21751724137931
Imran Khan,5,68.6,70.0,0.0,1.8,1.0,0.7134,0.6426000000000001,-6.1746,0.08712,0.155422,7.658e-06,0.13913999999999999,0.45918000000000003,133.5808
Bob Dylan,5,68.4,68.0,0.0,3.4,1.0,0.43079999999999996,0.38445999999999997,-12.6022,0.04273999999999999,0.7154,0.03540464,0.16426000000000002,0.479,151.94400000000002
